order_id,order_date,customer_age,gender,country,category,payment_method,quantity,unit_price,total_amount,discount_pct,is_member,rating,shipping_days,status
21,2024-06-30,44,M,DE,Beauty,Crypto,1,30.09,30.09,0,false,5,14,delivered
22,2024-01-18,38,F,DE,Sports,Card,8,185.53,1484.24,0,true,1,6,delivered
23,2024-05-30,43,M,FR,Sports,Card,6,112.11,417.05,38,false,,4,delivered
24,2024-01-07,44,F,US,Sports,Card,3,200.33,360.59,40,false,5,5,delivered
25,2024-12-13,41,F,US,Sports,PayPal,1,54.05,42.7,21,true,,8,delivered
26,2024-07-08,41,F,JP,Books,Card,2,19.75,39.5,0,true,5,1,delivered
27,2024-09-16,38,M,US,Beauty,Card,1,48.9,38.63,21,false,5,2,shipped
28,2024-10-15,35,M,US,Sports,Card,2,68.03,136.06,0,true,4,6,delivered
29,2024-11-06,46,Other,US,Sports,Card,9,130.76,1176.84,0,false,5,5,shipped
30,2024-09-24,33,F,DE,Sports,Card,1,233.46,158.75,32,true,5,3,delivered
31,2024-08-06,41,M,KR,Sports,Card,1,213.4,149.38,30,false,4,2,returned
32,2024-12-12,40,F,FR,Beauty,Card,1,77.5,77.5,0,false,5,3,delivered
33,2024-02-14,40,M,US,Home,Card,5,50.18,250.9,0,true,5,4,delivered
34,2024-05-17,37,F,US,Grocery,Card,1,3.37,1.85,45,false,5,12,shipped
35,2024-10-08,40,Other,DE,Home,Crypto,5,188.03,658.1,30,false,5,9,delivered
36,2024-12-17,32,M,KR,Books,PayPal,1,25.17,21.65,14,true,1,10,cancelled
37,2024-06-03,33,F,FR,Books,Card,2,34.86,69.72,0,false,,12,delivered
38,2024-02-28,29,F,JP,Books,Crypto,1,19.29,11.96,38,true,4,2,delivered
39,2024-09-17,36,M,KR,Books,PayPal,1,28.67,28.67,0,false,1,7,cancelled
40,2024-10-31,25,F,BR,Home,Card,5,282.27,1411.35,0,false,1,9,shipped
41,2024-04-24,37,F,KR,Beauty,BankTransfer,2,23,43.7,5,true,3,14,delivered
42,2024-09-14,38,M,US,Books,PayPal,1,16.35,11.28,31,false,,12,delivered
43,2024-04-09,42,F,GB,Home,Card,5,288.66,1443.3,0,true,2,10,delivered
44,2024-11-14,43,F,US,Home,Crypto,3,216.53,649.59,0,false,4,11,delivered
45,2024-04-11,39,M,DE,Grocery,Card,1,24.13,18.58,23,true,5,2,cancelled
46,2024-06-13,36,M,JP,Home,BankTransfer,9,248.53,2236.77,0,false,3,2,delivered
47,2024-03-19,38,M,JP,Grocery,BankTransfer,1,22.11,22.11,0,false,3,14,cancelled
48,2024-12-18,39,M,KR,Beauty,Card,4,103.17,259.99,37,false,4,11,shipped
49,2024-08-22,41,F,KR,Electronics,Card,3,789.08,1373,42,false,3,5,cancelled
50,2024-07-05,37,F,JP,Electronics,Crypto,1,586.1,480.6,18,false,4,7,delivered
51,2024-01-27,36,M,JP,Electronics,PayPal,1,481.47,481.47,0,true,5,13,delivered
52,2024-12-13,41,F,GB,Sports,Card,3,178.23,534.69,0,true,5,1,delivered
53,2024-06-14,38,M,AU,Grocery,Card,2,16.32,16.65,49,false,1,11,cancelled
54,2024-10-11,40,M,GB,Sports,Card,1,31.24,31.24,0,false,4,9,delivered
55,2024-02-16,37,M,JP,Home,Card,5,210.79,579.67,45,false,4,14,shipped
56,2024-12-13,34,M,US,Clothing,Card,2,24.33,48.66,0,true,4,1,delivered
57,2024-09-27,30,F,US,Clothing,Card,4,125.48,461.77,8,false,5,13,pending
58,2024-12-21,50,M,JP,Beauty,Card,4,113.25,289.92,36,false,,11,delivered
59,2024-09-10,38,F,IN,Toys,BankTransfer,8,49.99,399.92,0,false,3,11,delivered
60,2024-03-21,36,F,KR,Grocery,Card,3,22.91,68.73,0,false,4,6,delivered
61,2024-09-13,38,F,AU,Sports,PayPal,1,233.48,233.48,0,false,1,4,returned
62,2024-10-15,43,F,DE,Books,Card,4,15.66,51.36,18,true,5,12,delivered
63,2024-12-11,32,M,FR,Beauty,GiftCard,1,35.43,27.28,23,false,5,11,delivered
64,2024-12-15,36,F,CA,Beauty,Card,3,93.51,280.53,0,true,5,9,delivered
65,2024-06-30,39,F,US,Toys,Card,8,17.97,143.76,0,true,5,7,delivered
66,2024-08-19,37,F,KR,Toys,Card,10,10.22,102.2,0,false,4,14,delivered
67,2024-12-03,40,F,AU,Clothing,Card,6,31.04,115.47,38,false,4,3,shipped
68,2024-11-17,35,M,US,Sports,Crypto,10,35.53,355.3,0,true,5,3,shipped
69,2024-01-23,37,F,KR,Clothing,Card,5,62.31,311.55,0,false,,14,delivered
70,2024-04-19,35,M,US,Home,Card,10,151.88,1215.04,20,true,5,3,shipped
71,2024-07-06,41,F,DE,Home,Card,6,289.44,1302.48,25,true,5,3,delivered
72,2024-09-14,42,Other,GB,Grocery,PayPal,1,18,18,0,true,3,13,delivered
73,2024-12-27,43,F,GB,Clothing,Card,2,29.84,59.68,0,true,1,4,delivered
74,2024-10-16,37,F,US,Clothing,Card,1,146.15,146.15,0,false,5,1,delivered
75,2024-05-03,42,F,DE,Sports,BankTransfer,4,147.57,590.28,0,false,1,11,delivered
76,2024-12-06,35,F,US,Beauty,Card,1,46.92,44.57,5,true,3,9,pending
77,2024-05-30,33,F,JP,Books,BankTransfer,8,23.33,186.64,0,false,,2,delivered
78,2024-06-18,34,F,DE,Sports,PayPal,3,211.88,635.64,0,false,3,10,delivered
79,2024-08-21,35,M,KR,Electronics,Card,4,406.12,1445.79,11,true,5,7,delivered
80,2024-07-30,33,F,GB,Toys,Card,2,51,102,0,true,5,12,delivered
81,2024-08-24,30,M,US,Electronics,Card,2,596.59,1193.18,0,true,4,13,shipped
82,2024-08-10,35,M,KR,Electronics,Card,1,695.36,695.36,0,false,5,11,delivered
83,2024-11-16,31,M,JP,Clothing,Card,3,48.38,145.14,0,false,4,7,delivered
84,2024-10-01,42,M,CA,Beauty,PayPal,2,71.38,142.76,0,false,5,13,delivered
85,2024-03-09,36,F,AU,Clothing,PayPal,5,65.53,327.65,0,false,5,11,delivered
86,2024-04-19,43,F,JP,Clothing,Card,1,84.07,84.07,0,false,5,10,delivered
87,2024-07-04,37,F,US,Sports,Card,1,124.63,78.52,37,false,2,9,returned
88,2024-04-28,40,M,US,Books,Card,6,31.79,190.74,0,true,3,8,shipped
89,2024-02-05,39,F,KR,Home,PayPal,2,108.71,115.23,47,true,4,10,shipped
90,2024-08-18,39,F,KR,Clothing,PayPal,8,133.54,1068.32,0,true,3,11,delivered
91,2024-06-13,43,M,US,Home,Card,1,277.72,277.72,0,false,4,10,delivered
92,2024-12-25,43,Other,US,Books,Card,7,33.71,129.78,45,true,,8,delivered
93,2024-11-16,41,F,US,Toys,PayPal,5,50.79,253.95,0,true,5,12,shipped
94,2024-10-20,39,F,US,Home,BankTransfer,7,129.14,461.03,49,true,2,7,delivered
95,2024-04-02,40,M,DE,Beauty,PayPal,5,116.28,465.12,20,false,3,13,delivered
96,2024-02-24,43,F,US,Sports,Card,1,125.39,125.39,0,false,3,10,delivered
97,2024-06-18,38,F,FR,Beauty,Card,4,12.12,24.24,50,false,4,11,delivered
98,2024-10-15,38,F,JP,Sports,Card,1,183.47,126.59,31,false,,5,delivered
99,2024-04-17,42,F,GB,Sports,Card,1,50.02,50.02,0,false,,11,delivered
100,2024-12-21,37,M,DE,Home,GiftCard,3,56.58,169.74,0,false,3,3,delivered
101,2024-08-07,36,M,DE,Electronics,Card,5,411.36,2056.8,0,true,2,5,delivered
102,2024-04-03,44,F,GB,Clothing,Card,4,118.18,472.72,0,false,4,1,delivered
103,2024-03-22,32,M,US,Toys,Card,4,70.94,161.74,43,false,2,3,pending
104,2024-02-13,36,M,DE,Toys,BankTransfer,2,52.15,104.3,0,false,4,10,delivered
105,2024-07-07,43,M,JP,Sports,Card,3,187.57,562.71,0,false,4,3,delivered
106,2024-11-10,45,M,GB,Books,Card,7,35.83,250.81,0,false,,2,delivered
107,2024-05-23,32,Other,IN,Books,BankTransfer,4,34.31,137.24,0,true,2,11,delivered
108,2024-03-24,49,M,KR,Books,Card,6,9.75,58.5,0,false,1,13,shipped
109,2024-08-28,39,M,KR,Electronics,Card,1,151.99,100.31,34,true,,9,delivered
110,2024-08-01,43,F,AU,Beauty,Card,1,59.96,59.96,0,false,5,13,cancelled
111,2024-10-13,46,F,DE,Electronics,GiftCard,2,123.71,247.42,0,false,5,12,delivered
112,2024-06-10,48,F,KR,Grocery,Card,1,19.1,9.93,48,false,3,11,cancelled
113,2024-01-09,45,M,KR,Grocery,Card,1,11.37,11.37,0,true,4,8,cancelled
114,2024-02-01,38,F,US,Toys,Card,4,31.78,127.12,0,true,4,2,shipped
115,2024-02-03,37,F,DE,Beauty,Card,3,38.34,115.02,0,false,,11,delivered
116,2024-11-06,36,F,KR,Beauty,Card,8,21.12,168.96,0,true,2,4,delivered
117,2024-09-16,42,M,GB,Electronics,Card,1,543.14,298.73,45,true,,1,shipped
118,2024-08-23,40,M,GB,Grocery,Card,6,10.06,56.13,7,false,5,11,delivered
119,2024-06-14,34,F,JP,Sports,GiftCard,1,225.28,225.28,0,true,2,4,delivered
120,2024-04-29,49,M,JP,Home,Card,3,113.58,340.74,0,true,3,9,delivered
121,2024-01-14,47,M,US,Beauty,Card,1,23.6,23.6,0,true,4,4,delivered
122,2024-05-14,38,M,US,Sports,GiftCard,1,129.64,123.16,5,true,5,4,shipped
123,2024-08-20,35,M,JP,Electronics,Card,7,366.21,1922.6,25,false,3,7,shipped
124,2024-05-25,34,M,JP,Beauty,Card,8,27.13,217.04,0,false,4,13,delivered
125,2024-09-15,29,M,GB,Sports,PayPal,3,148.95,241.3,46,true,3,3,delivered
126,2024-04-26,44,F,US,Beauty,BankTransfer,1,49.17,49.17,0,false,3,5,shipped
127,2024-07-21,48,F,US,Electronics,Card,1,354.42,294.17,17,true,4,10,delivered
128,2024-12-28,48,M,KR,Grocery,GiftCard,1,13.81,9.81,29,true,,12,shipped
129,2024-06-10,34,F,GB,Toys,Card,7,49.6,347.2,0,true,,1,shipped
130,2024-01-03,44,F,DE,Electronics,BankTransfer,1,690.86,690.86,0,false,4,10,shipped
131,2024-05-05,41,F,DE,Beauty,Crypto,1,78.11,78.11,0,false,3,5,delivered
132,2024-04-25,38,M,CA,Home,PayPal,2,280.27,560.54,0,false,,2,delivered
133,2024-10-06,40,M,KR,Clothing,Card,1,124.63,124.63,0,false,,7,cancelled
134,2024-01-12,38,F,US,Sports,Card,9,173.9,1565.1,0,false,3,5,delivered
135,2024-12-14,36,F,US,Sports,BankTransfer,1,168.54,168.54,0,false,4,1,delivered
136,2024-04-28,28,M,AU,Books,Crypto,4,36.77,147.08,0,false,,4,delivered
137,2024-08-12,34,F,FR,Sports,GiftCard,5,195.86,979.3,0,false,5,8,delivered
138,2024-12-18,38,M,US,Beauty,BankTransfer,5,18.28,91.4,0,true,2,1,cancelled
139,2024-09-28,41,F,JP,Sports,Card,1,170.16,88.48,48,false,3,10,delivered
140,2024-08-19,44,F,JP,Beauty,Card,6,72.39,382.22,12,false,,2,delivered
141,2024-03-28,39,F,BR,Grocery,Card,1,28.25,28.25,0,false,,3,shipped
142,2024-01-18,36,M,DE,Books,PayPal,1,23.75,19.48,18,true,5,2,delivered
143,2024-07-19,35,M,KR,Electronics,PayPal,1,537.72,537.72,0,true,5,1,delivered
144,2024-09-25,48,F,DE,Clothing,PayPal,1,44.94,44.94,0,false,5,10,delivered
145,2024-04-15,38,M,GB,Grocery,BankTransfer,3,10.28,30.84,0,true,5,4,delivered
146,2024-04-04,45,M,US,Home,Card,3,55.06,99.11,40,true,3,10,delivered
147,2024-05-25,30,F,BR,Beauty,Card,1,28.37,28.37,0,false,4,5,delivered
148,2024-04-01,36,F,GB,Toys,BankTransfer,1,45.4,45.4,0,true,,14,returned
149,2024-08-08,39,F,US,Beauty,Card,6,61.38,368.28,0,true,4,7,shipped
150,2024-04-23,30,M,IN,Clothing,GiftCard,7,28.9,202.3,0,false,5,4,delivered
151,2024-02-16,47,M,KR,Electronics,PayPal,1,489.02,352.09,28,false,4,1,delivered
152,2024-01-22,39,F,US,Toys,Card,5,6.42,18.3,43,false,,3,cancelled
153,2024-03-16,47,F,US,Sports,Card,2,233.87,467.74,0,false,5,7,returned
154,2024-02-29,42,F,US,Beauty,PayPal,9,47.43,350.03,18,false,,11,delivered
155,2024-03-27,39,F,US,Grocery,Card,4,16.22,64.88,0,false,3,6,delivered
156,2024-08-26,39,M,DE,Electronics,Card,3,280.29,840.87,0,false,3,8,shipped
157,2024-02-10,37,M,AU,Clothing,Card,10,49.42,494.2,0,false,3,8,delivered
158,2024-06-09,39,M,JP,Sports,PayPal,5,117.57,587.85,0,true,2,13,delivered
159,2024-04-28,35,F,KR,Books,BankTransfer,1,5.62,4.33,23,false,3,7,delivered
160,2024-01-20,46,M,DE,Books,Card,9,37.42,336.78,0,true,2,8,delivered
161,2024-08-12,38,M,FR,Home,BankTransfer,2,76.54,153.08,0,true,5,6,delivered
162,2024-11-23,32,M,BR,Sports,BankTransfer,1,163.07,99.47,39,false,3,6,delivered
163,2024-07-21,30,F,US,Clothing,BankTransfer,1,125.66,125.66,0,true,5,11,shipped
164,2024-04-06,40,M,US,Grocery,Card,9,6.2,55.8,0,true,5,13,delivered
165,2024-04-07,46,F,BR,Sports,BankTransfer,10,192.65,1464.14,24,false,1,4,shipped
166,2024-08-31,35,M,US,Books,BankTransfer,2,7.29,14.58,0,true,3,2,delivered
167,2024-12-06,36,M,US,Grocery,Card,6,23.38,140.28,0,false,4,8,delivered
168,2024-03-29,33,M,KR,Grocery,BankTransfer,5,28.38,141.9,0,true,4,2,shipped
169,2024-09-06,40,M,FR,Sports,Card,2,233.09,237.75,49,true,4,14,returned
170,2024-11-09,28,F,GB,Grocery,BankTransfer,6,13.37,80.22,0,true,4,10,delivered
171,2024-01-06,37,F,AU,Books,Card,5,15.42,77.1,0,false,4,13,delivered
172,2024-05-02,34,M,JP,Grocery,Card,2,21.57,43.14,0,false,3,5,delivered
173,2024-10-03,32,M,DE,Books,Card,4,19.67,78.68,0,false,1,11,delivered
174,2024-02-05,48,M,US,Grocery,Card,3,18.38,55.14,0,true,3,13,delivered
175,2024-05-26,42,F,US,Grocery,Card,2,28.82,36.31,37,false,4,2,delivered
176,2024-02-27,45,M,JP,Grocery,Card,10,27.28,231.88,15,false,4,4,delivered
177,2024-09-23,34,F,US,Books,Card,1,36.31,36.31,0,true,,6,cancelled
178,2024-06-05,34,F,JP,Books,BankTransfer,1,10.47,10.47,0,true,,12,delivered
179,2024-07-22,48,F,GB,Grocery,Card,4,26.24,104.96,0,false,4,9,delivered
180,2024-11-26,36,M,KR,Beauty,Card,3,70.3,210.9,0,false,2,6,shipped
181,2024-03-20,41,F,US,Clothing,Card,10,137.38,1373.8,0,false,2,10,delivered
182,2024-04-30,43,F,US,Toys,Card,1,7.04,5.14,27,true,4,6,delivered
183,2024-12-23,36,M,DE,Clothing,Card,4,39.22,83.15,47,false,5,14,delivered
184,2024-06-09,40,F,FR,Home,Card,7,149.52,1046.64,0,true,5,13,cancelled
185,2024-12-27,45,F,KR,Grocery,PayPal,2,24.17,48.34,0,false,5,13,delivered
186,2024-03-25,36,M,GB,Home,Crypto,6,92.31,553.86,0,true,4,8,delivered
187,2024-05-29,43,F,KR,Home,PayPal,6,209.1,1254.6,0,false,,9,cancelled
188,2024-03-12,33,F,US,Beauty,BankTransfer,8,114.87,918.96,0,false,5,3,delivered
189,2024-08-06,40,M,IN,Toys,PayPal,3,73.43,220.29,0,true,4,13,delivered
190,2024-11-23,39,M,US,Books,Card,1,30.71,30.71,0,true,1,7,delivered
191,2024-06-13,40,M,US,Books,PayPal,10,36.36,363.6,0,false,4,12,delivered
192,2024-04-06,36,F,US,Books,BankTransfer,1,25.57,17.9,30,false,5,9,delivered
193,2024-07-19,36,F,GB,Toys,PayPal,1,49.68,33.29,33,false,3,10,delivered
194,2024-02-10,28,F,GB,Home,BankTransfer,8,147.37,1178.96,0,false,5,10,delivered
195,2024-10-23,39,F,US,Sports,PayPal,7,45.44,178.12,44,false,2,6,delivered
196,2024-08-23,29,M,KR,Home,Card,1,70.86,70.86,0,false,5,6,delivered
197,2024-01-22,37,M,IN,Toys,Card,8,14.34,114.72,0,true,5,6,delivered
198,2024-09-24,41,F,GB,Books,Card,2,36.53,73.06,0,false,1,3,delivered
199,2024-05-01,47,Other,CA,Clothing,BankTransfer,6,77.95,467.7,0,true,3,13,delivered
200,2024-11-06,27,M,IN,Sports,PayPal,2,149.07,274.29,8,true,3,2,delivered
201,2024-03-29,34,M,DE,Grocery,Crypto,1,26.23,22.03,16,false,3,12,delivered
202,2024-08-16,33,M,JP,Clothing,Card,10,71.08,710.8,0,true,,2,delivered
203,2024-06-08,40,M,US,Home,PayPal,6,289.33,1735.98,0,false,3,9,delivered
204,2024-10-31,36,F,US,Home,GiftCard,8,24.93,199.44,0,true,4,13,delivered
205,2024-10-06,36,F,US,Electronics,PayPal,1,408.89,257.6,37,true,4,10,cancelled
206,2024-04-01,45,F,GB,Clothing,BankTransfer,2,38.94,63.86,18,false,,4,delivered
207,2024-03-05,38,F,DE,Books,BankTransfer,1,25.06,25.06,0,true,3,12,shipped
208,2024-02-03,32,F,FR,Clothing,Card,4,128.79,515.16,0,true,5,11,delivered
209,2024-12-10,28,M,US,Home,Crypto,2,286.99,510.84,11,true,,2,delivered
210,2024-12-12,36,F,US,Electronics,Card,3,444.92,1334.76,0,true,4,3,delivered
211,2024-11-14,32,Other,GB,Beauty,Card,6,108.81,652.86,0,true,1,11,cancelled
212,2024-08-10,30,M,JP,Grocery,PayPal,1,10.29,9.16,11,true,2,13,delivered
213,2024-08-16,35,M,US,Home,PayPal,2,23.63,47.26,0,false,5,4,delivered
214,2024-03-15,29,F,DE,Electronics,PayPal,1,399.65,239.79,40,true,5,6,delivered
215,2024-10-07,41,M,US,Electronics,PayPal,4,372.95,1133.77,24,true,5,7,shipped
216,2024-07-30,43,F,US,Grocery,Card,4,18.52,74.08,0,true,,6,delivered
217,2024-10-01,42,M,JP,Toys,Card,7,6.28,43.96,0,false,3,13,delivered
218,2024-01-12,36,F,US,Grocery,GiftCard,7,8.85,42.13,32,false,3,11,delivered
219,2024-01-29,39,F,FR,Grocery,Card,6,5.51,33.06,0,false,4,1,delivered
220,2024-04-21,40,M,US,Books,Card,1,19.88,10.54,47,false,5,8,shipped
221,2024-03-01,34,M,KR,Grocery,PayPal,1,5.52,3.31,40,false,5,8,delivered
222,2024-04-01,37,M,JP,Toys,PayPal,1,60.43,50.76,16,false,3,4,delivered
223,2024-10-07,44,M,GB,Books,Card,1,22.86,22.86,0,true,2,6,delivered
224,2024-12-28,43,M,US,Books,Card,1,22.09,22.09,0,false,3,12,returned
225,2024-12-04,35,F,FR,Electronics,Card,1,637.25,541.66,15,true,5,2,delivered
226,2024-08-29,37,M,BR,Grocery,Card,1,5.24,4.45,15,false,4,4,delivered
227,2024-12-08,38,M,US,Books,Card,2,28.3,56.6,0,false,2,4,delivered
228,2024-03-06,40,F,US,Electronics,Card,9,721.36,5713.17,12,false,,7,cancelled
229,2024-07-27,42,F,KR,Beauty,Card,2,105.36,198.08,6,false,,4,shipped
230,2024-09-26,32,F,FR,Beauty,Crypto,1,38.06,38.06,0,true,5,5,delivered
231,2024-09-25,40,M,US,Beauty,Card,5,111.14,555.7,0,true,4,1,delivered
232,2024-02-01,28,F,JP,Beauty,PayPal,6,54.04,324.24,0,true,5,6,delivered
233,2024-03-31,30,M,IN,Toys,BankTransfer,7,6.17,43.19,0,false,1,7,delivered
234,2024-07-21,29,F,CA,Electronics,Card,2,362.88,725.76,0,false,5,4,delivered
235,2024-05-30,39,F,US,Toys,Crypto,1,54.94,54.94,0,false,2,4,delivered
236,2024-01-27,38,F,GB,Sports,Card,1,89.44,89.44,0,true,5,3,delivered
237,2024-06-11,48,Other,BR,Books,BankTransfer,1,37.84,37.84,0,true,3,7,delivered
238,2024-01-13,39,M,BR,Electronics,GiftCard,1,114.41,114.41,0,true,4,1,cancelled
239,2024-06-11,45,F,KR,Clothing,GiftCard,6,47.84,198.06,31,true,5,5,shipped
240,2024-09-19,49,M,GB,Clothing,Card,6,45.9,275.4,0,false,3,11,delivered
241,2024-10-28,33,Other,KR,Grocery,PayPal,6,6.2,37.2,0,false,,13,delivered
242,2024-02-15,35,M,US,Sports,Card,3,78.08,234.24,0,false,3,11,delivered
243,2024-07-17,40,M,AU,Electronics,Card,8,458.54,3668.32,0,false,4,13,returned
244,2024-10-08,28,F,FR,Toys,Card,3,70.02,210.06,0,true,4,3,delivered
245,2024-02-06,39,M,BR,Home,Card,1,150.45,150.45,0,false,4,4,delivered
246,2024-02-24,44,F,DE,Beauty,PayPal,2,64.03,120.38,6,false,4,7,delivered
247,2024-09-05,48,M,US,Books,PayPal,1,34,34,0,false,4,13,delivered
248,2024-11-24,32,F,KR,Home,BankTransfer,10,244.5,2445,0,true,4,8,delivered
249,2024-12-01,38,M,FR,Clothing,BankTransfer,1,102.74,56.51,45,false,4,13,delivered
250,2024-02-01,41,M,GB,Grocery,Card,6,11.53,69.18,0,true,,1,delivered
251,2024-02-05,39,M,CA,Toys,PayPal,2,35.21,58.45,17,true,3,2,delivered
252,2024-09-20,31,F,JP,Toys,Card,9,76.87,691.83,0,false,3,3,delivered
253,2024-04-07,40,F,KR,Grocery,Card,8,27.57,191.89,13,true,3,3,delivered
254,2024-10-16,38,M,JP,Electronics,PayPal,3,344.37,1033.11,0,true,5,8,shipped
255,2024-11-19,38,F,US,Clothing,Card,1,73.62,73.62,0,false,4,11,delivered
256,2024-07-18,41,Other,DE,Beauty,Crypto,3,96.88,290.64,0,false,4,8,shipped
257,2024-05-26,42,Other,US,Sports,Card,1,108.82,108.82,0,true,5,5,delivered
258,2024-09-16,41,F,CA,Grocery,Card,1,2.99,2.99,0,true,5,13,delivered
259,2024-01-03,43,F,JP,Home,PayPal,2,298.97,597.94,0,false,4,14,delivered
260,2024-04-12,34,F,US,Clothing,Card,8,75.01,600.08,0,false,5,3,shipped
261,2024-11-17,35,M,IN,Sports,Card,8,241.58,1932.64,0,true,4,2,delivered
262,2024-03-08,42,F,DE,Grocery,Card,1,28.98,28.98,0,false,5,3,delivered
263,2024-04-24,36,M,KR,Toys,Card,2,31.86,55.44,13,false,4,8,delivered
264,2024-03-31,37,M,US,Clothing,Card,7,60.95,302.92,29,false,5,2,delivered
265,2024-10-17,45,F,CA,Beauty,PayPal,1,59.72,59.72,0,true,2,12,delivered
266,2024-07-24,38,M,DE,Electronics,Card,7,163.24,1142.68,0,false,4,7,delivered
267,2024-01-29,33,F,GB,Beauty,GiftCard,3,33.95,101.85,0,false,4,5,pending
268,2024-07-21,34,F,FR,Electronics,BankTransfer,1,78.97,78.97,0,true,,5,delivered
269,2024-02-06,38,M,GB,Sports,Card,9,227.07,1777.96,13,false,5,7,shipped
270,2024-02-16,36,M,KR,Electronics,GiftCard,1,55.7,42.89,23,false,5,7,delivered
271,2024-07-14,36,M,US,Grocery,BankTransfer,5,20.97,104.85,0,false,3,9,cancelled
272,2024-03-25,32,M,JP,Grocery,Card,2,3.42,6.84,0,true,5,9,delivered
273,2024-12-22,45,M,US,Electronics,Card,5,273.84,1369.2,0,false,4,4,shipped
274,2024-06-12,41,M,US,Books,GiftCard,1,38.22,19.11,50,true,4,13,delivered
275,2024-08-02,33,F,DE,Electronics,BankTransfer,7,277.29,1941.03,0,true,4,12,delivered
276,2024-01-10,36,M,CA,Electronics,Card,3,482.04,1446.12,0,false,4,3,delivered
277,2024-04-05,36,M,CA,Clothing,PayPal,1,55.93,55.93,0,true,3,2,delivered
278,2024-05-26,37,M,US,Beauty,Card,3,109.21,327.63,0,false,3,14,shipped
279,2024-07-15,31,M,US,Electronics,PayPal,10,251.92,1990.17,21,false,5,4,shipped
280,2024-11-11,36,M,US,Grocery,Card,3,29.18,87.54,0,true,3,10,delivered
281,2024-09-07,41,F,US,Electronics,Card,1,687.21,687.21,0,false,3,12,delivered
282,2024-08-11,49,F,JP,Books,Card,10,36.82,368.2,0,false,3,5,shipped
283,2024-08-01,36,F,AU,Grocery,Card,7,15.94,111.58,0,false,2,4,delivered
284,2024-11-16,37,M,AU,Home,Card,1,121.58,82.67,32,true,2,1,shipped
285,2024-12-20,34,F,KR,Clothing,Card,1,36.38,36.38,0,true,5,4,delivered
286,2024-08-16,42,M,US,Grocery,PayPal,1,28.26,17.52,38,false,4,5,shipped
287,2024-07-16,30,M,GB,Sports,Crypto,2,63.85,112.38,12,false,5,5,cancelled
288,2024-08-13,42,M,US,Electronics,Card,6,317.55,1905.3,0,false,1,13,delivered
289,2024-04-04,39,M,JP,Beauty,BankTransfer,1,90.93,90.93,0,false,4,2,shipped
290,2024-10-21,28,M,DE,Beauty,Card,6,119.32,715.92,0,true,4,8,delivered
291,2024-03-30,40,F,JP,Sports,BankTransfer,2,54.71,87.54,20,false,4,8,delivered
292,2024-07-13,40,F,KR,Toys,GiftCard,7,31.48,220.36,0,true,5,3,shipped
293,2024-06-14,36,M,JP,Clothing,PayPal,10,22.91,229.1,0,true,2,2,returned
294,2024-10-20,51,M,JP,Electronics,Card,2,378.53,469.38,38,true,4,3,shipped
295,2024-04-01,34,M,US,Books,PayPal,4,35.21,122.53,13,true,3,7,delivered
296,2024-01-16,31,M,JP,Toys,Card,1,55.38,44.86,19,true,3,7,shipped
297,2024-11-01,33,F,GB,Clothing,Crypto,10,60.28,602.8,0,false,,1,delivered
298,2024-07-28,38,M,KR,Clothing,BankTransfer,6,78.07,468.42,0,true,4,4,delivered
299,2024-04-21,44,F,KR,Electronics,Crypto,8,730.58,5084.84,13,true,2,8,delivered
300,2024-04-01,37,F,KR,Beauty,Card,7,89.62,514.42,18,false,2,10,delivered
